TR1_x,MOS1_x,D1_x,L1_x,C1_x,PWM1_x,OPTO1_x,ATX_CONN_x,TR1_y,MOS1_y,D1_y,L1_y,C1_y,PWM1_y,OPTO1_y,ATX_CONN_y,cost
9,7,1,8,1,9,6,9,8,3,5,5,4,3,8,9,39.82031320000799
8,9,0,4,5,2,2,1,0,4,2,4,5,9,0,8,44.08761059752703
3,6,5,5,5,9,0,2,6,7,2,4,9,1,2,9,34.43606129500059
0,4,6,9,6,3,1,4,1,7,7,7,4,8,5,9,25.501860634573024
7,4,3,9,0,4,2,4,8,0,6,0,3,3,4,5,38.47907297750836
1,7,6,3,8,1,0,0,0,6,8,8,5,6,6,7,36.383036550396334
1,9,6,1,0,2,7,1,5,6,4,6,5,9,5,3,33.88187110789604
6,6,1,4,3,2,8,8,9,8,6,5,5,1,1,8,48.68871406164108
3,5,3,2,9,1,7,9,5,2,1,4,2,2,7,9,32.5097699831541
7,9,5,7,4,9,5,1,9,5,2,7,4,0,8,4,34.16257848126624
7,0,5,1,9,8,7,8,7,0,4,1,9,6,9,0,56.06950547438701
7,3,9,8,0,1,1,2,9,5,7,2,7,5,8,0,34.72105640129058
3,7,8,2,5,6,5,0,7,8,9,5,4,6,9,5,24.2248762940276
1,1,6,4,2,1,4,2,5,8,4,9,5,9,6,9,26.28050330690213
1,8,5,8,6,5,5,5,4,6,2,1,8,0,4,7,32.877376008706214
1,1,8,0,9,9,2,2,4,8,8,5,2,6,9,7,47.255967566560194
0,5,7,4,3,3,7,5,6,3,9,7,8,4,3,9,24.752578505171694
7,4,8,3,2,0,5,1,7,6,8,9,4,7,8,8,28.244925805212258
1,1,4,8,3,5,6,5,4,2,7,2,7,0,8,3,44.25741452107637
5,0,1,0,7,9,1,4,3,5,5,4,7,0,0,3,37.33859008730501
2,9,4,4,0,6,1,0,8,8,3,1,3,9,7,8,35.3088389955406
9,2,9,3,1,5,8,8,3,4,5,9,8,1,8,0,46.40806899516254
6,0,5,0,1,3,9,2,7,6,4,5,5,1,5,0,38.624307604246134
5,5,7,1,0,3,5,8,8,2,7,7,4,0,4,6,33.73712260664915
8,4,3,5,5,1,6,7,7,0,4,0,4,5,6,6,34.95268838819343
5,7,5,4,6,2,4,1,2,7,8,1,9,8,5,1,37.64121386621547
5,4,9,2,5,0,4,1,4,7,6,7,7,5,0,6,33.5900071610737
5,2,2,2,3,5,9,9,8,0,9,1,5,6,0,2,50.01137699527456
7,5,1,2,5,5,3,0,5,7,9,8,6,4,1,2,27.860406741764887
7,6,1,4,3,3,2,5,8,8,4,7,9,1,1,5,46.263689106893565
1,8,4,2,8,1,5,9,8,4,2,5,3,3,8,5,36.784648701779055
7,2,1,4,6,9,2,1,8,9,1,6,6,1,5,7,44.72481369045092
7,5,8,6,0,8,4,2,8,2,9,8,1,2,2,5,31.811090991846523
3,8,1,3,4,4,8,8,5,4,4,8,2,9,1,2,38.46284896466039
9,5,0,1,9,3,6,0,9,9,0,0,4,9,9,7,34.15459907649172
8,4,3,1,2,6,7,5,4,7,6,0,7,7,3,9,26.90111693797159
2,5,5,8,5,4,1,4,5,5,8,1,3,7,0,6,28.91386907215569
9,5,5,2,8,7,1,9,6,9,3,7,7,4,6,5,34.12545447029693
0,4,9,4,0,4,6,0,0,7,7,8,1,5,5,6,31.669658508169764
0,8,5,4,6,7,4,9,9,3,8,1,8,8,9,1,45.40271350382784
2,6,5,5,3,8,8,0,1,5,8,2,9,6,0,0,36.86040029208661
2,7,9,9,2,9,8,8,5,8,8,5,6,4,8,7,28.701985415008117
9,5,1,0,7,9,3,9,4,5,6,9,4,9,0,7,36.273728950501265
2,9,0,1,0,5,2,3,8,6,9,3,7,6,6,6,37.95698336700144
8,2,3,5,8,5,7,5,9,8,8,7,6,2,8,8,29.5353404610812
5,9,4,4,4,3,5,5,4,7,8,3,4,7,7,8,29.72212513921044
4,1,8,6,2,0,1,7,4,9,6,5,4,4,5,4,31.80590510549038
7,3,4,4,1,9,3,8,3,8,8,2,9,3,0,3,44.09859761149523
3,1,5,1,0,2,7,3,0,6,7,2,8,6,7,4,32.03051277874369
5,0,9,8,2,2,6,2,4,1,3,0,6,0,7,4,37.24098998874405
0,4,9,5,7,8,2,7,0,9,1,4,8,7,8,4,40.48504461506062
3,5,7,2,5,9,2,6,1,2,4,0,4,3,9,6,36.699817575058205
8,1,1,2,5,0,6,7,5,6,2,7,3,4,3,4,30.326137881355173
5,9,0,5,0,7,2,8,4,9,4,3,1,4,6,4,46.81583313525276
1,5,2,9,6,7,9,8,4,9,7,5,8,8,1,7,33.336073386876286
8,1,1,8,3,8,2,8,5,9,0,8,9,2,5,7,52.55004901447132
1,9,1,8,7,0,7,0,3,7,8,6,9,8,4,6,50.7009028605225
4,3,1,6,1,0,4,6,0,9,0,5,8,1,6,7,48.57863736262318
6,1,2,1,8,8,3,0,6,8,5,2,6,2,0,4,43.13540018530899
7,6,6,3,5,4,1,6,8,8,3,7,2,3,0,9,50.05608514421159
0,3,1,0,9,3,6,3,3,1,9,7,0,0,7,8,39.89745756779919
3,2,4,9,9,5,4,8,0,8,3,5,9,3,2,3,37.620141891116454
6,4,8,2,8,0,6,5,4,0,9,6,7,5,8,6,43.21843441652283
4,2,7,3,2,0,6,8,6,8,3,4,7,8,6,8,31.67630494665263
2,3,3,1,5,8,0,6,6,4,5,7,1,3,4,9,36.5349059121812
9,1,9,3,3,4,1,3,0,3,8,7,5,0,7,9,40.66640490026058
3,3,5,6,8,4,5,7,6,8,4,7,5,4,8,7,29.286140311680725
1,5,5,9,2,4,9,6,7,3,5,3,0,8,9,4,34.714102422299455
5,6,3,8,4,7,2,8,3,9,7,5,7,7,5,7,30.079523116658926
2,0,0,0,3,2,3,7,8,8,1,0,1,0,8,5,41.977027004867935
0,9,0,8,0,8,1,8,9,7,8,6,0,4,1,2,53.24388421396067
9,4,4,1,6,9,3,1,8,5,6,5,7,3,4,0,32.2243413707839
1,6,8,0,2,7,5,1,6,6,7,0,1,6,9,8,29.5505389172287
0,3,7,0,4,9,2,9,3,9,4,1,8,0,5,2,52.52080085865007
4,9,9,8,1,5,1,3,2,3,6,5,8,0,6,1,36.49256083854383
5,9,6,0,7,3,8,9,9,9,5,4,7,5,6,6,34.03016787139987
1,4,1,4,6,5,1,4,9,3,1,2,5,1,0,7,25.589820021779925
5,1,6,8,8,1,1,8,4,2,7,8,6,0,5,1,27.032058148864888
9,5,0,6,1,3,8,2,9,6,4,6,8,9,2,4,35.60878631007545
4,1,6,5,3,9,4,6,4,2,4,4,7,9,0,5,37.32548983504535
9,5,5,9,4,9,7,2,6,7,6,2,5,3,5,6,25.26531331169491
5,7,3,6,6,1,3,8,4,9,5,4,5,9,9,2,28.677392460225573
8,7,7,1,4,4,6,1,0,3,4,6,3,2,6,7,25.16583721680022
9,9,8,6,0,8,1,3,7,6,8,8,5,9,1,5,43.286393884099745
2,0,6,0,4,8,8,9,9,9,5,1,3,8,9,3,44.99076186712841
7,6,9,2,0,1,1,5,5,7,8,5,7,4,2,4,37.181795911512936
5,3,7,7,5,4,1,8,7,8,5,7,1,0,0,2,37.6889427175376
8,5,6,3,6,0,3,9,2,8,7,6,6,9,7,6,25.136589718643176
4,9,8,5,3,1,7,5,1,1,2,5,7,4,8,9,33.719609012786734
6,1,5,9,4,9,2,1,9,5,7,2,9,1,5,3,43.983832864207365
4,2,2,6,9,9,7,2,1,5,8,6,2,6,8,7,36.115921484509954
4,2,7,0,0,6,8,6,2,5,9,5,7,8,7,7,34.81846248798758
6,1,0,4,4,8,2,9,7,9,3,0,3,4,7,7,39.731225434566156
8,1,1,8,8,7,3,1,8,9,4,5,0,8,6,3,40.43683613735773
4,7,5,9,9,2,3,8,0,4,1,5,6,9,0,4,34.08526617318787
9,2,4,9,8,2,0,5,8,5,4,4,1,6,4,3,23.56007096273408
6,2,4,1,6,4,7,5,7,9,6,1,8,5,7,9,29.579372865339213
0,7,1,6,7,5,5,9,1,5,8,3,4,4,8,2,31.609462174501175
9,5,0,1,7,0,4,4,7,0,1,2,7,6,2,1,39.579715254475026
5,1,2,6,3,1,0,2,4,5,0,4,6,1,3,9,26.41955020745445
3,0,1,2,1,1,5,4,8,5,6,7,3,1,5,2,23.919580297753924
2,8,0,2,5,2,9,3,1,9,9,7,3,6,7,1,39.93240179834809
1,1,6,4,3,9,9,0,2,9,5,1,8,9,4,4,44.27675558659921
3,9,3,4,3,9,8,5,8,8,6,0,7,1,0,5,37.78203051789456
2,9,5,2,1,9,0,3,6,6,8,7,0,1,4,0,37.71000174979635
0,8,8,6,1,8,2,1,6,4,6,6,8,9,4,4,33.605968427937235
1,8,6,1,6,0,1,1,8,5,9,4,3,3,6,7,43.04908585530465
9,0,2,0,7,8,4,5,9,4,1,2,5,8,2,2,41.56765327749509
4,0,6,8,4,1,7,5,1,5,4,1,9,7,8,0,39.662258101025635
7,2,2,1,1,8,0,3,9,5,4,9,3,0,0,0,36.291289619139754
7,2,8,3,3,5,1,5,5,0,6,5,6,4,9,1,41.43614765319822
8,7,4,1,5,4,3,5,0,4,5,8,3,9,7,9,31.443447812262107
7,8,2,3,5,6,1,6,3,3,0,8,0,4,3,7,51.00477880113604
0,4,0,8,5,1,1,2,2,1,3,6,7,9,8,6,35.696129425023216
1,9,3,4,6,5,4,1,9,0,4,5,5,7,3,3,42.82868715955106
2,1,7,5,1,5,7,1,9,2,7,6,8,3,4,1,36.21394737446485
2,9,3,2,6,0,4,0,4,0,5,1,8,4,2,6,47.7068995341211
7,8,1,1,1,0,6,1,8,3,7,2,0,3,5,9,42.88552226097478
9,1,1,1,2,6,2,4,4,0,3,5,9,6,5,4,36.30887478711851
0,9,3,7,8,0,4,2,9,9,4,6,7,1,6,6,49.60849934905201
3,0,5,8,5,8,6,2,8,6,7,7,9,5,4,0,37.42886948170407
5,3,4,7,1,3,8,3,9,0,0,8,3,4,0,9,39.566614578039996
6,3,5,9,5,9,9,7,5,9,5,0,9,2,3,8,38.60975439663831
4,1,3,3,8,0,9,2,2,0,9,0,7,5,3,5,48.34972047022183
2,0,2,2,8,1,6,4,5,0,9,1,5,5,9,5,45.701263218240896
6,5,8,5,9,6,4,2,7,2,9,3,2,4,2,0,32.686199027867616
9,9,2,5,3,1,2,1,6,0,9,9,9,7,5,3,46.609127291085144
5,2,5,0,1,4,0,6,5,1,7,4,5,1,0,7,29.093051761128894
6,6,8,1,9,2,1,4,7,5,6,7,3,7,0,0,42.35496137826166
5,1,5,1,1,9,9,2,4,1,2,8,5,9,6,0,42.82784605796851
1,6,8,4,3,0,9,0,5,8,4,4,1,6,8,5,35.92737418443819
0,1,9,3,0,2,1,6,6,4,7,1,3,4,7,7,37.601652743987614
7,1,5,5,4,3,9,2,4,8,6,2,7,4,0,1,40.95986361410065
1,8,9,8,6,7,3,4,5,6,3,0,8,9,7,1,34.15102318392417
8,9,1,2,6,2,4,1,9,2,7,0,3,9,5,1,48.555528229889845
6,5,8,0,9,2,9,1,8,4,7,9,8,9,9,1,45.85957051180262
9,4,5,4,7,9,0,2,1,8,6,6,9,7,2,9,36.412139633661084
9,0,5,0,4,0,4,4,6,6,3,7,5,5,4,7,30.958974773223478
1,2,7,4,9,3,3,7,3,4,5,6,1,7,6,8,37.74704990398024
5,8,1,8,2,9,3,5,0,2,4,6,8,0,0,3,35.81735908846306
4,7,0,5,9,2,9,5,5,8,3,7,7,7,8,5,36.70817218372495
2,1,0,0,9,3,6,0,4,4,6,2,3,4,8,0,45.392468069533344
2,0,4,4,6,5,4,7,9,3,9,4,6,7,3,4,34.155862433989405
8,6,1,8,9,4,5,4,9,9,0,5,4,1,4,4,47.65305670756357
8,0,6,2,7,4,6,9,3,9,5,0,4,6,6,3,39.19615439659009
5,8,5,4,8,4,4,2,3,7,8,2,2,1,8,5,37.7638780533905
1,5,4,5,4,4,1,0,3,3,6,5,9,7,7,9,24.797040623312306
9,1,3,1,8,3,6,5,9,7,8,6,4,5,9,2,30.11583858261244
1,5,5,0,4,2,2,1,7,2,0,7,3,9,7,2,35.31318809992539
9,6,6,0,3,0,8,0,6,6,7,8,5,5,3,0,32.0534759401445
5,2,6,9,0,4,8,8,4,1,8,4,4,7,9,5,45.5871177366202
5,5,2,0,3,9,2,5,7,3,6,3,0,8,1,0,32.025128356876095
6,8,0,0,0,1,7,1,4,9,9,1,0,6,6,8,43.583716878570776
4,0,8,9,2,1,9,4,7,4,4,9,6,8,1,1,44.35319557889922
1,3,3,8,5,4,0,7,7,9,4,3,6,2,8,3,34.36888796256218
7,3,0,1,1,1,4,7,5,0,1,9,8,1,3,4,30.83084470909361
4,0,2,4,5,1,0,5,7,1,0,5,6,1,0,5,18.25235864898309
7,4,5,2,6,7,6,1,9,1,5,1,6,4,7,2,37.371292105947525
0,1,9,2,6,9,2,6,2,6,7,9,5,0,7,7,42.61605300313884
0,4,0,9,3,8,9,6,1,5,8,9,5,8,1,3,39.90388692169583
7,8,0,2,7,2,3,4,5,9,0,8,7,1,5,0,51.65500054845058
8,8,6,1,7,7,5,1,3,6,3,7,9,7,1,6,31.22134839406864
8,0,9,4,8,7,5,3,8,1,9,8,3,5,0,7,52.85937872965853
5,9,7,1,0,5,8,5,8,9,5,3,5,4,8,1,33.208321285412666
0,4,1,3,3,0,1,7,2,9,6,7,5,9,7,9,29.279185416438292
8,8,8,9,9,2,6,9,2,0,6,7,2,1,9,5,41.32340289763148
8,6,3,6,4,8,8,8,6,9,4,5,7,4,5,3,28.88287245187062
9,5,2,8,1,8,9,6,4,2,8,5,5,7,9,8,39.27759943538709
4,0,1,0,3,2,4,0,6,8,0,0,4,4,2,4,30.507517367176746
3,0,9,6,8,0,6,5,8,5,8,3,4,6,6,8,33.56192669042949
0,4,9,3,9,9,3,1,0,3,7,5,8,3,4,2,40.92333236858455
2,1,0,4,4,2,4,5,8,6,6,8,2,9,0,7,34.992016297900534
2,2,9,9,7,8,1,8,0,5,0,4,9,5,5,3,38.27767020090809
2,1,2,8,5,3,5,4,8,8,6,8,3,5,5,3,36.13784971174863
9,7,0,5,3,9,0,6,8,8,1,7,9,3,5,4,50.47820288674015
8,0,5,8,4,1,2,8,4,8,8,7,3,1,8,0,38.937550005424455
1,3,8,1,0,5,1,0,3,6,6,2,7,0,1,2,36.311606437516396
4,1,3,6,7,6,0,1,8,9,4,6,6,5,6,8,32.09548826024004
0,1,0,5,1,4,7,8,9,9,1,8,4,9,6,3,51.63838373902743
2,8,2,5,8,2,0,9,6,4,4,0,8,1,0,9,36.99242620461721
6,8,4,5,9,3,2,0,8,1,3,3,4,1,9,8,42.10623688269402
7,1,1,9,5,9,3,7,8,4,3,7,5,1,5,7,37.073232247703785
5,4,2,9,5,2,5,3,9,9,9,5,6,0,3,6,46.39431835936156
4,2,7,7,4,8,2,1,5,5,7,5,7,1,9,4,40.68390419309936
2,3,1,0,0,9,9,4,8,4,1,8,9,6,3,8,31.34774067877473
8,2,6,9,2,8,1,5,7,5,3,4,7,8,6,8,34.29112739549083
0,9,8,2,7,7,1,5,3,2,2,9,5,3,4,3,35.34995204238403
0,8,6,0,1,4,9,9,3,5,7,5,8,4,8,2,39.04270177538032
6,5,1,4,3,6,5,7,6,9,8,6,8,5,7,9,23.12393825551583
0,2,1,4,2,9,3,5,8,7,8,3,5,1,6,1,37.9142962484338
7,7,9,3,2,2,0,2,7,3,2,0,9,8,9,0,40.40566043570206
2,2,6,9,4,3,9,3,4,8,9,0,1,7,7,6,33.50079824237795
9,9,4,5,9,1,6,2,2,8,2,7,9,3,6,1,48.32145352715335
0,8,9,2,9,0,8,1,3,8,1,7,9,8,1,7,57.00805277454622
2,8,6,6,0,6,7,5,9,0,8,5,8,3,6,9,40.10589996832335
9,4,3,4,8,4,0,9,1,7,1,9,6,3,0,8,38.21624103132263
1,0,3,6,1,6,4,8,8,6,5,5,2,9,4,6,39.08470436138411
9,9,6,6,8,2,8,7,5,4,3,8,7,5,8,4,43.29747681144538
4,5,2,3,3,6,8,0,9,6,1,7,8,5,9,2,28.440779367370617
1,7,1,3,1,0,6,8,2,9,4,5,9,6,9,4,44.09171223952804
9,2,3,4,0,8,3,2,0,7,8,3,9,8,9,0,40.42828932498855
5,0,1,6,6,9,8,1,3,2,4,5,6,3,0,1,37.013154192456234
8,8,5,4,9,7,9,4,4,9,5,3,3,6,0,2,33.043026894912856
6,1,4,4,9,7,9,3,8,8,5,8,4,6,7,5,34.91903395376702
7,9,4,6,3,6,8,0,7,0,1,3,5,5,8,4,33.96530721618892
3,1,5,8,7,5,9,7,4,6,1,2,5,3,4,3,30.480366861000437
4,3,5,1,1,9,8,7,3,9,2,1,7,0,0,5,45.84327491667219
9,7,4,2,4,3,2,8,5,9,7,8,6,9,0,6,32.59690285612489
7,0,5,2,1,7,0,3,8,8,6,7,8,5,0,6,38.411076255168474
9,5,9,2,4,4,9,5,1,5,4,8,3,7,5,2,29.189458977683124
7,3,5,6,9,9,1,3,6,6,5,4,2,3,4,8,33.045977257024774
6,2,0,6,2,8,7,4,6,7,2,7,8,5,4,8,31.896010001258777
9,2,3,7,4,5,8,5,0,0,4,5,5,8,4,0,39.1000756646424
5,3,9,2,5,8,6,4,9,9,8,4,5,7,9,7,36.191872292404774
5,9,1,5,5,4,9,4,6,9,2,3,5,4,6,7,36.21959502996129
5,8,2,4,1,7,0,6,9,7,0,1,1,8,0,8,40.2325212132021
1,4,2,6,4,8,0,5,1,9,1,4,7,2,0,5,46.185430466685276
7,8,8,2,2,9,9,8,7,4,7,8,9,7,6,8,23.447624193407105
4,7,3,7,5,4,4,0,5,8,1,4,6,2,0,8,37.6805237711152
2,4,8,7,4,6,9,0,5,7,0,7,0,4,3,8,40.98578187253155
5,6,6,3,1,3,9,4,3,8,6,4,6,8,4,8,26.650997157450643
4,3,4,7,7,9,3,0,6,1,1,9,4,7,5,2,39.72385877244934
0,0,1,4,3,2,7,5,8,2,4,2,1,0,3,6,28.931200149398457
4,5,0,1,0,8,4,0,7,7,5,2,4,7,6,1,35.56772299937532
3,7,0,8,7,4,2,8,6,3,3,3,6,5,0,8,33.812054840042094
1,7,3,0,1,6,0,4,4,4,5,3,3,5,2,9,30.976615539653807
1,3,0,7,2,1,2,1,6,0,9,9,5,3,7,9,40.191532200784415
5,0,2,1,7,5,5,3,0,5,8,2,3,8,7,0,34.512451534812215
6,2,0,7,4,7,9,8,5,4,7,8,8,3,2,5,31.937648084703532
5,4,8,1,2,4,8,8,7,9,2,8,7,4,5,6,42.550000461746805
2,9,9,5,8,3,7,2,0,5,3,1,6,8,8,9,36.816889395241944
4,6,1,8,0,2,3,7,5,5,1,1,2,0,1,3,44.379019502028186
1,9,7,9,4,5,9,0,0,6,8,9,0,3,1,3,36.895591745739225
5,6,0,4,0,4,3,1,8,5,9,8,1,1,8,1,31.56488861231666
3,6,3,2,8,1,5,8,8,3,9,8,6,9,7,5,32.80946249236981
2,9,5,8,5,6,9,9,8,7,5,5,6,5,3,8,29.247025975330406
3,8,5,7,0,4,0,2,6,4,7,6,0,9,8,4,36.435054228750914
0,5,4,8,9,2,0,5,4,0,8,8,9,1,7,2,39.818063591879856
2,5,4,1,6,3,5,2,4,9,4,9,9,1,7,7,38.089511105032024
9,9,0,0,5,3,0,0,1,4,9,5,6,9,6,4,42.30417947136512
8,5,9,0,7,9,1,6,0,8,2,6,9,8,3,4,47.78675993910645
2,1,9,8,4,6,2,8,5,7,0,6,1,8,7,3,40.81700261343432
7,9,8,8,3,4,5,1,6,3,9,3,1,6,9,1,32.71829437581847
6,5,3,5,0,2,9,9,6,5,5,9,4,5,7,2,43.17833611105897
5,1,0,9,4,5,4,5,2,1,3,2,0,1,7,3,32.54119790807139
8,3,8,8,9,0,9,0,3,8,4,7,2,6,8,4,42.02358891404941
2,4,9,0,0,6,5,0,0,3,4,7,1,4,1,4,28.532553895078372
6,6,1,7,8,8,8,0,3,8,5,9,1,7,0,3,41.408182384713214
8,5,0,5,4,0,5,2,4,7,5,5,3,4,6,1,28.94102424655839
6,9,6,9,6,9,7,2,8,3,3,2,4,5,8,9,27.721658675250342
8,2,8,9,5,8,1,5,3,4,2,2,1,8,2,2,32.71751563116228
0,6,4,4,3,0,9,9,5,6,7,2,1,9,4,9,40.4460538719531
9,3,5,8,7,2,7,0,3,0,1,9,5,6,7,6,40.61807887577943
0,6,1,7,7,7,6,0,4,3,2,9,5,3,6,9,33.83326972014172
6,6,9,8,0,1,3,8,5,9,9,8,8,7,8,6,30.30239405004608
0,6,0,4,6,2,4,2,8,8,3,7,4,6,9,7,34.37059853855671
8,2,8,6,5,0,7,3,1,9,2,6,7,2,9,7,44.17013832524388
1,5,1,1,5,8,8,2,4,2,1,7,1,6,9,6,35.50120861444488
8,0,5,0,4,7,2,0,6,2,9,6,4,4,1,9,45.00998988787887
4,7,7,0,7,3,6,1,0,7,8,9,3,9,7,9,35.85812999706559
9,3,4,8,0,2,5,9,0,8,9,3,2,0,0,9,49.33841477695558
4,1,1,4,9,8,7,5,5,0,6,9,9,2,9,0,47.749793877614465
1,5,6,5,9,1,8,7,4,5,8,8,0,9,1,9,39.00639086638362
4,9,4,9,5,7,7,2,6,5,8,9,2,8,7,9,33.379806804729995
3,3,1,3,6,0,5,4,4,0,0,9,6,5,8,1,36.90865606747572
4,8,5,1,5,9,0,3,4,8,0,5,6,9,2,5,39.29926242560649
5,2,8,7,0,4,5,8,7,7,5,6,8,9,8,0,31.691118253317878
3,5,1,4,5,8,9,9,9,5,2,0,6,2,9,1,35.23611132049713
4,0,7,5,4,8,2,5,5,4,3,7,3,4,1,0,36.454786192487965
3,7,0,8,3,4,2,3,1,8,7,2,5,5,1,0,43.979045566500375
7,8,0,0,1,1,4,9,6,1,4,9,5,8,0,4,48.10089374104456
